Team,ShotsOnGoal,CornersTaken,CleanSheets,PassesCompleted,Clearances,Touches,TimeOfPossession,Rank,SeasonWinner,Relegated,WinningSeason
Norwich City 15/16,129,188,5,14483,1212,21936,46.5,19,0,0,0
Southampton 15/16,166,220,12,15913,1101,23716,49.3,6,0,1,1
Stoke City 15/16,128,153,10,16342,826,23663,50,9,0,1,0
Sunderland 15/16,141,153,7,12799,1277,29339,43.4,17,0,1,0
Swansea City 15/16,136,163,9,18169,1058,25989,52,12,0,1,0
Tottenham 15/16,252,254,13,18649,1046,27014,55.3,3,0,1,1
Watford 15/16,140,164,11,14531,931,22362,46.3,13,0,1,0
West Brom 15/16,107,188,11,12262,992,19822,42.3,14,0,1,0
West Ham 15/16,185,224,11,15031,1003,23104,49.1,7,0,1,1
Arsenal 16/17,201,227,13,21394,838,28931,56.5,5,0,1,1
Bournemouth 16/17,160,193,10,17152,1092,24801,51.3,9,0,1,0
Burnley 16/17,120,149,10,12559,1235,19788,42.7,16,0,1,0
Chelsea 16/17,204,218,16,20125,839,27658,54,1,1,1,1
Crystal Palace 16/17,138,203,7,13542,1022,21533,46.7,14,0,1,0
Everton 16/17,191,196,13,17586,1118,25309,51.5,7,0,1,1
Hull City 16/17,126,179,5,15606,1104,22790,46.7,18,0,0,0
Leicester City 16/17,145,197,9,13671,1025,21051,43.7,12,0,1,0
Liverpool 16/17,236,249,12,22290,877,30071,58.3,4,0,1,1
Man City 16/17,216,280,12,22706,905,30363,60.9,3,0,1,1
Man United 16/17,210,217,17,20245,1112,28119,55,6,0,1,1
Middlesbrough 16/17,100,141,11,15736,1090,23067,47.9,19,0,0,0
Southampton 16/17,179,198,14,18245,914,25881,53.1,8,0,1,0
Stoke City 16/17,137,188,11,14558,1009,22087,47.2,13,0,1,0
Sunderland 16/17,119,159,6,12359,1170,19639,42.8,20,0,0,0
Swansea City 16/17,145,196,8,16131,1037,23728,48.3,15,0,1,0
Tottenham 16/17,257,273,17,20150,1003,28150,57.4,2,0,1,1
Watford 16/17,143,164,7,14049,1016,21547,47,17,0,1,0
West Brom 16/17,123,159,6,11825,999,19042,40.7,10,0,1,0
West Ham 16/17,138,172,10,15127,1074,22667,48.4,11,0,1,0
Arsenal 17/18,234,225,13,23524,829,30635,58.5,6,0,1,1
Bournemouth 17/18,158,218,6,16131,1037,23634,48.5,12,0,1,0
Brighton 17/18,119,163,10,14675,1085,21668,45.1,15,0,1,0
Burnley 17/18,128,167,12,13572,1184,20732,45.1,7,0,1,1
Chelsea 17/18,220,230,16,21264,768,28728,54.4,5,0,1,1
Crystal Palace 17/18,151,210,9,14372,1022,22434,46.9,11,0,1,0
Everton 17/18,121,150,10,14749,1229,22298,46.7,8,0,1,0
Huddersfield Town 17/18,109,165,10,14960,1070,22619,46.4,16,0,1,0
Leicester City 17/18,149,203,9,15200,920,22770,48.3,9,0,1,0
Liverpool 17/18,233,230,17,22962,736,30324,58,4,0,1,1
Man City 17/18,265,284,18,28241,588,35130,66.4,1,1,1,1
Man United 17/18,178,220,19,20064,853,27525,53.9,2,0,1,1
Newcastle United 17/18,149,167,9,14028,1125,21506,43.8,10,0,1,0
Southampton 17/18,145,227,8,17174,953,24639,51,17,0,1,0
Stoke City 17/18,132,136,6,12892,1164,20368,43.7,19,0,0,0
Swansea City 17/18,103,150,9,15721,943,22775,46,18,0,0,0
Tottenham 17/18,216,246,16,21660,825,29412,58.8,3,0,1,1
Watford 17/18,132,183,9,15654,953,23127,49.3,14,0,1,0
West Brom 17/18,114,176,10,13218,993,20552,42.8,20,0,0,0
West Ham 17/18,133,161,10,14369,1007,21928,46.4,13,0,1,0
Arsenal 18/19,170,209,8,20805,762,28126,56.1,5,0,1,1
Bournemouth 18/19,163,191,10,15943,1019,23367,47.7,14,0,1,0
Brighton 18/19,108,156,7,14109,921,21447,44.1,17,0,1,0
Burnley 18/19,116,140,8,13011,1080,20291,43.4,15,0,1,0
Cardiff City 18/19,126,168,10,10226,978,17503,39.1,18,0,0,0
Chelsea 18/19,198,215,16,25070,593,32358,59.9,3,0,1,1
Crystal Palace 18/19,148,205,12,15243,940,23211,46.6,12,0,1,0
Everton 18/19,169,215,14,16494,825,24496,51,8,0,1,1
Fulham 18/19,146,161,5,17699,971,25208,49.2,19,0,0,0
Huddersfield Town 18/19,118,162,5,15902,658,23238,47.1,20,0,0,0
Leicester City 18/19,184,210,10,17219,945,25054,50.8,9,0,1,0
Liverpool 18/19,226,249,21,23638,639,30897,58.8,2,0,1,1
Man City 18/19,260,298,20,26581,543,33593,64,1,1,1,1
Man United 18/19,225,200,7,19202,785,26476,53.3,6,0,1,1
Newcastle United 18/19,142,181,11,13490,1120,21317,42.9,13,0,1,0
Southampton 18/19,162,193,7,14297,1068,22109,45.4,16,0,1,0
Tottenham 18/19,189,194,13,21295,770,28688,56.7,4,0,1,1
Watford 18/19,152,177,7,15462,956,22878,47.4,11,0,1,0
West Ham United 18/19,157,188,7,16358,855,24045,49,10,0,1,0
Wolverhampton 18/19,152,195,9,16618,824,23969,47.4,7,0,1,1
